order_date,flavor,quantity,unit_price,customer_note
03/18/2026,lemon,2.0,$3.2,wholesale
2026-04-13,Vanilla,4.0,$2.78,birthday order
02/20/2026,chocolate,11.0,$2.95,wholesale
2026-05-31,Chocolate Cupcake,2.0,$2.9,gift box
2026-03-12,lemon,8.0,3.22,birthday order
02/25/2026,Carrot Cake Cupcake,6.0,$3.72,gift box
2026-06-29,Funfetti,4.0,3.06,wholesale
2026-05-10,Chocolate Cupcake,9.0,2.96,
2026-06-12,Choc,11.0,$2.95,
2026-01-21,RedVelvet,4.0,$3.45,
2026-02-17,Red velvet ,6.0,3.48,wholesale
2026-03-18,Funfetti,3.0,$3.01,
04/14/2026,Funfetti Cupcake,5.0,3.09,wholesale
2026-06-16,Funfetti Cupcake,4.0,3.03,
2026-04-11,Choc,3.0,$3.0,gift box
05/22/2026,carrot cake,2.0,$3.74,
2026-03-31,Vanila,8.0,$2.78,gift box
2026-05-30,Funfetti Cupcake,2.0,2.97,
2026-04-08,Carrot,8.0,3.76,
2026-04-17,Carrot Cake,4.0,$3.77,wholesale
2026-01-03,Lemon,11.0,$3.34,
2026-06-29,Red velvet ,12.0,3.57,birthday order
2026-02-05,Vanila,3.0,$2.67,wholesale
03/15/2026,Choc,2.0,3.02,
2026-05-21,Carrot Cake,5.0,3.78,gift box
2026-02-22,Carrot,,3.75,
2026-02-10,Red Velvet Cupcake,6.0,3.44,birthday order
01/23/2026,,1.0,3.74,
2026-04-22,Red Velvet,,3.62,
2026-02-19,Red Velvet,10.0,3.55,wholesale
2026-06-16,Choc,10.0,3.02,
2026-05-08,Carrot Cake,11.0,3.74,wholesale
2026-01-06,red velvet,11.0,3.57,
2026-03-28,Vanilla Cupcake,12.0,2.7,
2026-06-13,Red Velvet,12.0,3.52,wholesale
2026-04-10,vanilla,4.0,2.65,
2026-05-24,Red velvet ,5.0,3.54,wholesale
2026-04-29,Funfetti,5.0,3.05,
02/26/2026,Red velvet ,8.0,$3.47,gift box
2026-05-27,funfetti,2.0,3.03,
04/18/2026,Funfetti Cupcake,2.0,3.1,gift box
03/05/2026,,6.0,$3.07,gift box
2026-04-05,Funfetti Cupcake,8.0,$3.0,
2026-03-20,funfetti,,$2.99,
2026-05-01,Carrot,10.0,$3.71,
2026-03-22,vanilla,10.0,$2.71,birthday order
2026-06-25,Carrot Cake,,$3.71,
2026-01-05,Fun Fetti,2.0,$3.04,
2026-02-24,Red velvet ,5.0,$3.46,
2026-01-29,Vanilla Cupcake,9.0,2.72,
2026-06-25,red velvet,3.0,$3.56,gift box
2026-06-20,Chocolate Cupcake,7.0,2.98,
2026-02-16,vanilla,9.0,$2.78,birthday order
2026-02-09,vanilla,12.0,2.77,
2026-04-17,Fun Fetti,,$3.08,gift box
2026-02-03,Lemon,4.0,$3.23,
2026-01-18,Red velvet ,5.0,$3.55,
2026-02-04,Fun Fetti,8.0,2.97,
2026-01-25,,10.0,3.49,
06/09/2026,Lemon Cupcake,2.0,$3.3,wholesale
2026-02-18,Red Velvet,11.0,3.43,gift box
2026-04-25,Chocolate,3.0,$2.99,
2026-06-14,Vanilla Cupcake,7.0,2.74,wholesale
03/17/2026,Red Velvet Cupcake,5.0,$3.54,wholesale
2026-03-31,red velvet,9.0,3.56,
2026-01-21,Carrot Cake Cupcake,9.0,3.77,wholesale
